@relation letter-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
27.712813,8.660254,39.837169,39.837169,-39.837169,0,-19.052559,6.928203,-13.856406,-39.837169,C
45.033321,-10.392305,32.908965,36.373067,-43.30127,-8.660254,-20.78461,10.392305,-12.124356,-45.033321,H
29.444864,5.196152,27.712813,39.837169,-34.641016,1.732051,-22.51666,6.928203,-10.392305,-32.908965,G
36.373067,8.660254,31.176915,34.641016,-45.033321,-3.464102,-22.51666,12.124356,-22.51666,-53.693575,N
43.30127,27.712813,12.124356,34.641016,-46.765372,24.248711,-20.78461,10.392305,-6.928203,-36.373067,Z
43.30127,22.51666,39.837169,29.444864,-53.693575,8.660254,-20.78461,17.320508,-27.712813,-58.889727,P
22.51666,10.392305,13.856406,32.908965,-22.51666,15.588457,-25.980762,3.464102,-15.588457,-25.980762,Z
25.980762,5.196152,22.51666,41.569219,-20.78461,-5.196152,-15.588457,1.732051,-0,-15.588457,E
20.78461,6.928203,19.052559,36.373067,-31.176915,22.51666,-24.248711,3.464102,-10.392305,-24.248711,R
24.248711,12.124356,20.78461,38.105118,-32.908965,17.320508,-27.712813,5.196152,-17.320508,-32.908965,E
27.712813,13.856406,20.78461,39.837169,-38.105118,24.248711,-27.712813,6.928203,-13.856406,-31.176915,E
55.425626,25.980762,39.837169,46.765372,-64.08588,12.124356,-24.248711,19.052559,-17.320508,-58.889727,Q
41.569219,29.444864,13.856406,29.444864,-53.693575,25.980762,-34.641016,15.588457,-31.176915,-62.353829,T
34.641016,27.712813,17.320508,29.444864,-45.033321,24.248711,-29.444864,10.392305,-24.248711,-50.229473,F
45.033321,8.660254,13.856406,31.176915,-55.425626,10.392305,-20.78461,13.856406,-12.124356,-45.033321,D
12.124356,-8.660254,25.980762,34.641016,-15.588457,15.588457,-22.51666,1.732051,-8.660254,-10.392305,J
48.497423,10.392305,31.176915,25.980762,-45.033321,1.732051,-22.51666,15.588457,-25.980762,-46.765372,Y
32.908965,17.320508,20.78461,32.908965,-41.569219,15.588457,-25.980762,10.392305,-19.052559,-41.569219,S
45.033321,8.660254,17.320508,34.641016,-50.229473,1.732051,-19.052559,13.856406,-10.392305,-46.765372,O
38.105118,12.124356,36.373067,41.569219,-53.693575,13.856406,-24.248711,10.392305,-20.78461,-46.765372,O
32.908965,20.78461,5.196152,32.908965,-36.373067,13.856406,-20.78461,8.660254,-6.928203,-34.641016,Z
46.765372,34.641016,24.248711,34.641016,-58.889727,24.248711,-31.176915,13.856406,-32.908965,-62.353829,D
10.392305,8.660254,15.588457,31.176915,-27.712813,24.248711,-25.980762,5.196152,-12.124356,-24.248711,I
31.176915,10.392305,22.51666,32.908965,-43.30127,25.980762,-31.176915,10.392305,-27.712813,-43.30127,N
32.908965,-10.392305,31.176915,32.908965,-36.373067,-3.464102,-17.320508,6.928203,-8.660254,-31.176915,H
39.837169,6.928203,25.980762,46.765372,-51.961524,3.464102,-29.444864,12.124356,-20.78461,-58.889727,U
29.444864,8.660254,39.837169,36.373067,-36.373067,-1.732051,-19.052559,6.928203,-17.320508,-39.837169,C
46.765372,19.052559,29.444864,31.176915,-45.033321,-1.732051,-27.712813,13.856406,-39.837169,-57.157677,U
41.569219,20.78461,34.641016,39.837169,-55.425626,10.392305,-27.712813,12.124356,-22.51666,-60.621778,O
36.373067,20.78461,31.176915,39.837169,-39.837169,-1.732051,-20.78461,8.660254,-13.856406,-34.641016,E
27.712813,10.392305,27.712813,39.837169,-39.837169,25.980762,-29.444864,6.928203,-29.444864,-43.30127,M
25.980762,12.124356,24.248711,39.837169,-39.837169,5.196152,-15.588457,8.660254,-3.464102,-51.961524,Y
39.837169,8.660254,29.444864,45.033321,-50.229473,0,-24.248711,12.124356,-10.392305,-45.033321,C
32.908965,17.320508,22.51666,24.248711,-36.373067,8.660254,-24.248711,8.660254,-22.51666,-45.033321,Y
25.980762,12.124356,10.392305,31.176915,-27.712813,20.78461,-27.712813,5.196152,-17.320508,-31.176915,Z
10.392305,3.464102,20.78461,31.176915,-24.248711,20.78461,-27.712813,3.464102,-17.320508,-24.248711,J
22.51666,10.392305,19.052559,31.176915,-29.444864,20.78461,-22.51666,3.464102,-10.392305,-25.980762,B
27.712813,-3.464102,27.712813,45.033321,-24.248711,-5.196152,-19.052559,3.464102,-3.464102,-22.51666,C
48.497423,22.51666,12.124356,36.373067,-50.229473,8.660254,-15.588457,13.856406,-1.732051,-45.033321,S
25.980762,0,15.588457,24.248711,-24.248711,10.392305,-27.712813,6.928203,-17.320508,-32.908965,F
34.641016,15.588457,32.908965,36.373067,-45.033321,3.464102,-22.51666,8.660254,-17.320508,-48.497423,O
34.641016,29.444864,19.052559,25.980762,-50.229473,19.052559,-27.712813,13.856406,-24.248711,-57.157677,T
17.320508,-5.196152,32.908965,36.373067,-20.78461,-8.660254,-13.856406,1.732051,-1.732051,-20.78461,K
34.641016,20.78461,36.373067,39.837169,-43.30127,-1.732051,-17.320508,8.660254,-10.392305,-38.105118,E
43.30127,31.176915,22.51666,39.837169,-64.08588,38.105118,-29.444864,13.856406,-19.052559,-55.425626,F
24.248711,17.320508,31.176915,34.641016,-50.229473,13.856406,-22.51666,12.124356,-13.856406,-53.693575,V
29.444864,19.052559,27.712813,43.30127,-48.497423,32.908965,-25.980762,6.928203,-10.392305,-36.373067,Q
34.641016,20.78461,20.78461,31.176915,-48.497423,13.856406,-29.444864,13.856406,-24.248711,-62.353829,Y
19.052559,6.928203,20.78461,22.51666,-17.320508,1.732051,-24.248711,3.464102,-20.78461,-34.641016,Y
36.373067,3.464102,22.51666,36.373067,-39.837169,3.464102,-20.78461,8.660254,-12.124356,-39.837169,O
22.51666,-1.732051,27.712813,24.248711,-20.78461,-3.464102,-17.320508,5.196152,-17.320508,-31.176915,N
27.712813,19.052559,29.444864,38.105118,-45.033321,22.51666,-24.248711,10.392305,-20.78461,-43.30127,A
20.78461,8.660254,17.320508,29.444864,-31.176915,20.78461,-29.444864,6.928203,-19.052559,-32.908965,F
43.30127,15.588457,20.78461,39.837169,-46.765372,10.392305,-20.78461,10.392305,-12.124356,-43.30127,R
19.052559,8.660254,17.320508,34.641016,-36.373067,17.320508,-15.588457,12.124356,-1.732051,-45.033321,T
34.641016,13.856406,29.444864,45.033321,-48.497423,25.980762,-32.908965,10.392305,-32.908965,-55.425626,M
25.980762,-1.732051,15.588457,25.980762,-24.248711,6.928203,-17.320508,5.196152,-8.660254,-24.248711,D
43.30127,8.660254,19.052559,32.908965,-46.765372,25.980762,-32.908965,10.392305,-19.052559,-41.569219,P
48.497423,17.320508,1.732051,39.837169,-41.569219,20.78461,-27.712813,13.856406,-13.856406,-39.837169,Z
29.444864,17.320508,24.248711,27.712813,-38.105118,13.856406,-24.248711,8.660254,-20.78461,-45.033321,Y
25.980762,12.124356,17.320508,24.248711,-27.712813,13.856406,-27.712813,6.928203,-25.980762,-39.837169,T
