@relation 'letter_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Remove-R9-12'

@attribute -0.438width-0.427x-box-0.417onpix-0.4high-0.4y-box... numeric
@attribute 0.509y-bar+0.472x2ybr+0.457xegvy-0.33x-bar-0.309yegvx... numeric
@attribute -0.551y2bar+0.452x2bar-0.443xybar+0.431x-ege+0.169x2ybr... numeric
@attribute -0.496xy2br+0.416x-bar-0.394y2bar+0.317xybar-0.313x2bar... numeric
@attribute -0.619y-ege+0.455xy2br+0.358xybar+0.239y-box-0.233onpix... numeric
@attribute 0.665yegvx+0.414x-bar+0.287xybar+0.287xegvy+0.265y-bar... numeric
@attribute 0.527xy2br-0.522x2bar+0.351x-ege-0.279high-0.275y-box... numeric
@attribute 0.539x2bar+0.519xybar-0.29xegvy+0.288y-ege-0.248high... numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
1.615023,0.600884,-2.218764,0.34485,-0.762214,-0.378604,0.758578,0.989268,Z
-0.145457,0.047105,1.140494,0.152375,-0.166596,0.087979,-0.786155,0.477241,O
-0.270992,-0.333501,1.330019,-0.641588,0.110387,0.924465,0.456988,-0.163971,Q
-1.590555,-1.551903,-0.015165,-1.149855,0.170718,-0.875823,-1.388094,-0.140364,Q
2.070061,-1.705043,0.784968,-1.311083,-0.2916,-3.732763,-1.235447,-3.233028,L
4.032592,1.97227,1.740913,0.379454,0.384148,0.996957,0.74903,-0.244481,V
2.726832,-0.803069,-0.533341,-0.293153,-1.390141,0.025962,0.993592,0.109774,X
-4.928784,-0.250105,1.137779,-0.196534,-0.995349,0.534737,0.92051,-0.24188,V
-3.804665,-1.624453,1.300143,2.499431,0.239444,-1.15234,2.124386,0.282092,M
0.640033,3.221377,-1.507876,0.365196,-0.09407,-1.464856,0.643963,-0.002771,Y
1.349901,-1.028645,-0.813575,1.334134,-0.482583,0.109434,-0.385265,0.195349,D
-0.299466,-0.77705,-0.425778,-0.999552,-0.650203,0.716225,0.038201,-0.413556,E
-0.467792,-0.716975,-0.447367,3.21884,-0.57274,-0.181168,-0.561699,-0.34132,N
-0.577082,-2.348959,-0.154181,1.492095,0.827512,-0.464613,-0.459713,-1.279114,A
1.500589,-0.067208,-0.061274,0.410223,-1.120257,-1.025806,-0.50635,0.466173,D
-0.851481,-0.763717,0.144237,-0.192067,-1.765273,0.441667,-0.141683,0.725855,Z
1.306046,1.331861,0.428155,0.897489,1.057146,-0.422517,0.90567,0.304808,N
-0.627602,-0.377751,0.028977,-0.17538,0.456224,-0.137773,-0.6604,-1.03816,X
-1.833756,2.129417,-0.03679,1.122543,-0.487413,-0.339583,1.260333,-0.428894,F
-0.163336,0.298063,0.997299,-0.691025,0.138116,-0.282734,0.557111,-1.464997,N
1.875941,-1.75214,0.7341,-1.771279,-0.446667,-4.106275,-1.408989,-3.080474,L
0.313571,0.925022,-0.167705,1.722657,0.106109,-0.254728,0.559674,-0.072908,N
2.781943,0.056025,-2.128832,0.08678,-0.750831,0.101612,0.834428,0.904061,Z
-0.664868,1.768156,-0.174537,1.283427,-0.288515,-1.366778,0.007748,0.337327,Y
4.994695,-0.418357,0.429573,0.500821,-0.000381,-0.17807,0.194228,-0.441063,I
-4.189658,3.644467,1.16291,0.83404,-0.326753,-0.461198,1.225095,-0.790158,W
2.795874,0.7682,0.844615,-0.304009,-0.056387,0.401838,0.950531,0.312717,U
-0.599712,-0.702233,0.145852,0.364845,-0.137071,0.562074,-0.984722,0.143625,O
1.964969,3.757014,-0.892295,1.179512,-0.729321,-0.519057,-0.47037,0.333165,T
0.059575,-0.767945,-0.101589,0.38767,-0.41757,-1.167998,0.695695,0.79204,O
-2.442315,1.245726,1.663819,1.340085,-1.241664,0.797582,-0.106318,-0.855093,P
3.136828,1.585707,-0.628992,-0.762955,0.917402,0.12867,0.540897,1.163652,C
0.977569,0.054744,-0.190919,-1.465838,0.884902,1.017217,0.132801,0.165106,G
-1.98208,-0.259088,1.394828,0.214325,-1.784357,1.210603,0.43809,-0.054199,B
1.360028,-0.704152,-0.098477,-1.548562,-0.24278,0.194531,1.303934,0.090452,K
-2.433614,3.191295,0.664449,0.362547,1.06009,-0.504765,1.201348,0.564049,W
1.745957,1.598217,1.212634,0.02136,-0.307742,1.067918,0.441792,-1.378986,V
-0.211321,1.981015,1.652329,1.071077,-0.167232,1.036008,1.173996,-1.064109,W
-2.769761,-1.924445,0.81654,-0.866853,-0.48795,-0.114628,-0.17859,-0.074765,H
-0.310423,-0.116543,-2.921611,-1.47497,-1.045372,-0.274033,-0.189691,0.233219,Z
2.958559,-1.136035,-1.616778,1.385444,0.956587,0.007049,0.572811,0.339995,J
2.40129,2.30856,-0.925953,1.781179,-0.02682,0.007336,-0.98477,0.500262,F
-2.018524,-0.004933,0.777677,0.351939,-0.315807,-1.13244,-1.374312,0.105344,D
1.084033,-0.213166,-1.861844,0.384348,-0.648736,0.542871,-0.089887,0.384265,S
-2.524729,1.213139,-2.993197,0.542441,0.363919,-0.906118,-0.988601,0.560641,T
-0.87835,-0.367414,1.268035,-0.199269,-0.078034,0.464035,-1.054868,0.451858,O
1.336907,-0.709246,-1.039988,-0.886883,-1.640028,0.126744,-0.167633,0.46531,Z
-0.183428,-1.182784,0.398347,-1.893001,-1.304329,0.49333,-1.958675,0.676436,B
1.945259,2.056175,-0.214092,0.981427,-0.790834,-0.347179,-0.030338,0.910291,F
-4.57591,-1.859932,1.512876,2.615731,0.166933,-0.36339,2.125648,0.678005,M
2.305003,2.326625,-0.135248,0.105271,0.232814,1.132786,0.219722,-1.097223,T
-1.485531,-0.296208,0.333716,0.212979,-0.114221,-1.02801,-0.530934,-0.271565,O
2.109117,-0.935683,0.427826,-1.564571,-0.060921,0.490194,1.023733,-0.490759,K
2.501428,-0.350881,-2.138008,-0.110385,-0.529906,0.387408,0.519718,0.551266,Z
2.149417,4.048928,-1.107908,1.282162,-0.550926,-0.301422,-0.640148,0.560983,T
-2.045777,1.889172,1.786982,0.583095,0.189356,0.770269,0.964435,-1.692188,W
1.373485,-2.242853,0.252923,1.088467,0.062955,-2.444498,1.014631,-1.123153,A
2.324401,-0.89898,1.956206,-0.209639,-0.937057,1.372128,0.0679,-0.51135,Q
-4.736694,0.066686,-1.06891,-0.037331,-0.799824,0.693784,-0.679233,0.674254,Z
-0.938561,1.011837,0.351913,0.947453,-1.757776,0.776807,0.49852,0.030625,H
-2.837773,0.209646,0.669888,0.372979,-1.297981,-0.716568,1.567808,-0.273057,R
3.395086,-0.353516,0.032419,0.156162,0.742062,-0.264072,-0.796541,-1.212846,I
1.816691,-1.279383,0.039478,0.49744,0.097684,0.651064,0.025136,0.235546,R
-1.666772,1.118576,1.030912,-0.634096,0.583406,-0.190854,1.035684,-1.124333,U
0.776017,0.645672,2.350173,-0.950156,1.332236,-0.159672,-1.233156,0.894209,U
-0.575805,-0.088081,-1.276806,-1.684525,1.261499,0.761483,-0.266308,0.934512,C
-0.979754,-0.615961,0.690011,-0.34206,0.392209,-0.216722,-0.940546,0.078409,O
-1.629022,-0.239776,-1.743302,-1.939859,0.312052,0.278131,-0.847539,0.636173,E
-1.849081,-1.789888,-1.397912,1.542139,0.161538,-0.142675,-0.610816,0.591029,D
-0.081374,1.689851,-0.452076,-0.729089,0.756082,-1.533922,0.618146,0.495255,U
1.226815,-1.30072,-0.941217,1.847918,-0.295601,0.554194,-0.25242,0.38451,R
2.068652,-1.135694,-0.101512,-1.019307,-0.684087,0.811854,0.209228,0.065524,E
-1.470351,0.070295,-0.729554,-1.893652,1.099478,0.8659,-0.259289,0.193016,G
-1.524803,-2.06286,-1.169842,0.913463,0.213756,2.227583,-0.226182,-0.65099,B
-0.661052,-1.65863,0.498228,1.676528,0.833695,-0.507542,-0.627722,-1.700476,A
3.391246,2.328798,-0.223984,-0.217652,-0.601001,1.116964,1.142768,-0.633566,Y
0.875832,1.581399,0.90841,-0.171049,-1.441509,0.594089,0.955217,-0.973466,Y
-1.47882,-1.060855,0.995349,-0.275944,0.50554,-0.396488,-1.293599,-0.049957,O
-2.006522,-0.016371,-0.971549,-1.663865,0.796803,1.174,-0.341024,0.324071,G
-1.5088,-2.612003,-0.177157,1.62956,0.160845,-1.650974,0.44301,-1.321931,A
2.062046,1.748352,-0.990596,-0.905957,0.723704,0.481282,0.466638,1.062335,C
-1.247034,0.94399,0.830741,1.142667,-1.894859,-0.428827,0.418799,0.171864,H
-2.867922,0.287666,0.5938,0.16699,-1.460147,-0.216676,1.131764,-0.418806,R
-0.294113,-0.413328,-0.044588,0.668886,-0.090461,-1.000361,0.247677,0.596429,J
-0.062354,-0.756291,3.777006,0.460847,1.503504,-0.638925,-0.600225,1.363638,M
0.264325,2.063352,0.755963,-0.315902,0.674385,1.019988,0.262572,-1.761783,V
2.257755,-1.486782,-0.423291,1.040934,-0.318799,0.669124,0.054429,0.216769,R
0.520629,2.908502,0.388479,-0.691702,-0.015916,1.297788,-0.218896,-1.127684,T
-2.740194,-0.995645,0.242533,-0.727521,-1.536086,1.427603,0.243946,0.225619,J
1.341643,-0.148869,-1.77839,0.553349,-0.462437,0.470131,-0.000156,0.381507,S
-3.909167,-1.37832,2.062573,0.065732,0.197004,1.267015,0.77368,-0.684809,G
2.456053,-1.173061,-0.582787,1.442216,-0.401915,0.469773,-0.306434,0.272215,D
3.290055,-1.803102,0.821084,-0.477264,-1.022939,0.814434,0.423697,0.316547,G
-2.670137,-2.741236,-0.54847,1.085058,-1.023462,-0.291737,-0.542924,0.134525,Z
-1.656298,-0.087949,-0.336282,-1.757147,-0.217761,-1.327839,-2.037501,0.565214,D
3.177318,-2.213883,0.400751,1.124326,0.190236,-1.986668,0.760925,-1.382011,A
4.800877,1.808133,0.220444,0.573639,-0.180245,0.904391,0.921619,-0.375794,T
2.812384,-0.788985,0.687977,-0.611184,-0.500921,0.988303,0.154016,0.101566,G
3.811244,-2.155074,-1.485216,-0.139529,0.333795,-0.456025,0.959635,-0.923473,L
-3.383189,-0.65332,1.433118,1.26062,-0.508162,-2.560588,1.133358,1.370255,W
4.121275,-0.423791,-0.694416,0.278442,-0.621285,-0.022948,0.835466,-0.832832,I
-4.217498,-0.030743,2.816948,0.701869,-0.963271,-0.199591,1.841903,0.176353,M
0.389317,-3.162261,-1.2353,0.942467,0.376517,2.292526,-0.914661,0.249653,Q
1.969017,-1.191666,-0.481782,-1.413541,-2.200929,-0.052959,0.162297,-0.07183,S
-3.765703,-1.468338,-1.706367,-1.306893,0.041172,0.217076,-0.29502,-0.07344,Q
1.473813,1.877289,1.823405,0.263789,1.018809,0.919178,0.461599,-0.86152,V
-1.357674,-1.01456,0.908787,-1.41414,-0.566389,0.576969,-2.080743,-0.446847,R
-3.164955,0.608042,-0.677413,-0.26802,-0.941744,0.295238,-1.050701,0.641356,Z
-0.913515,-0.397267,0.483242,-1.398361,-0.28876,0.8812,-0.465746,-0.009534,P
-2.469588,3.952635,1.158459,0.307789,1.00546,0.077912,0.953284,-0.492543,W
0.412204,0.311187,-3.331114,0.488728,1.588355,0.393376,-0.350741,-0.499092,I
1.777821,3.436085,-0.920048,-0.629289,1.1065,-0.917827,-0.681591,0.602425,F
-2.760145,0.224269,0.162692,-0.539013,-1.949195,0.098615,-0.146217,0.045136,F
0.290121,-1.198916,-2.951842,1.435188,1.872133,0.355568,-0.842211,-0.119468,J
-0.060061,3.524319,0.311457,-0.586882,1.134234,0.46792,-0.79823,-0.402659,V
-3.467108,0.015327,1.047816,0.087072,-1.609846,-0.582895,1.196772,0.94675,M
-4.613744,1.838935,2.615371,0.492811,-0.183064,0.733456,0.424863,-0.862376,M
-0.073351,0.046934,0.211179,0.389544,0.576239,-0.743597,-0.481082,0.798721,O
3.338845,-0.248396,-1.470066,1.912576,1.154637,0.628873,0.398169,0.843572,J
0.767268,-0.49796,-1.674885,-4.162676,0.430969,-0.949881,0.971011,0.346847,E
-1.748516,-3.698579,0.750697,2.209987,2.366487,-0.947706,1.108902,0.441977,M
-3.840132,1.827466,-0.456061,-1.178774,1.762568,-0.660946,1.195395,0.680374,K
-1.150402,2.411603,-0.480982,0.767413,-0.856909,-0.36505,-1.598555,-0.046811,P
-1.493872,-2.563576,-0.734028,1.790698,0.523829,-0.492462,-0.515852,-1.537967,A
2.025355,-0.198407,0.094877,-0.801821,0.199297,0.806695,0.398303,0.159336,G
-0.18195,1.150441,0.536952,1.339027,-0.484707,0.371865,-0.306181,-0.632372,V
2.208648,-0.536906,-0.635699,-0.00649,-1.610631,-0.481816,0.772397,0.078808,X
3.85678,-1.947228,0.89658,1.88825,0.267012,-0.72249,0.723935,-1.039071,A
-2.576064,-1.837713,-2.505587,-0.406868,0.152135,0.552397,0.128099,0.91083,Z
-0.899681,0.095716,0.277905,-1.993639,-1.306751,0.349015,0.302237,0.062077,S
-4.465352,-1.184524,0.489983,2.425036,-0.100158,0.395046,0.977794,-0.208771,M
-0.607995,-0.113527,-2.988489,-1.561853,-0.918533,-0.285428,-0.396197,0.055946,Z
-0.344729,-0.533552,3.53761,0.296086,1.799321,-0.739504,-0.855244,1.35712,M
-4.759195,3.278655,1.729479,0.916237,0.633459,0.018636,0.586298,-1.315976,W
-2.049793,2.955327,-2.553421,0.371539,0.277715,-1.331827,0.104119,-0.271119,T
1.527962,-0.716448,-1.330611,-3.977076,0.145638,-0.4037,0.882586,0.259583,E
3.878685,-0.365402,0.209202,0.228631,0.453332,-0.233566,-0.463656,-0.942113,I
-0.213222,0.766616,-0.271285,-0.201795,0.797108,-0.566329,0.924031,0.462569,H
-0.099763,0.952014,0.51727,-1.411157,1.046479,-0.111023,-0.466705,-0.223189,U
0.969996,-0.442851,0.43425,0.008413,0.041716,-0.129325,-0.180496,-0.160393,X
2.48985,3.422535,0.794818,0.438574,0.239797,1.041343,0.166667,-0.170561,V
-0.988891,1.896041,1.418665,1.509843,-0.401986,0.158994,0.874917,-0.880569,W
1.190621,-1.459685,-1.184999,1.556873,-0.655634,0.610868,-0.136442,0.113706,D
0.776955,-0.620039,0.020788,0.320541,-0.975836,-0.381443,0.477421,0.333604,R
1.107898,-0.082971,-1.388226,0.343578,-0.662548,0.557447,-0.014565,0.17843,S
-1.130043,1.063771,-1.975217,0.778892,-0.217571,-0.433602,-0.256292,0.239849,F
-1.812775,0.114677,0.830223,0.993251,-0.999733,-1.86156,1.490687,0.753353,N
0.051819,-2.895993,-0.987045,1.188404,-0.284712,1.587715,-0.850089,-0.54773,Z
0.694562,-0.614476,-3.29299,-1.954625,-1.305239,0.099696,-0.259679,0.903337,Z
2.502368,-0.344467,-0.168214,-0.104488,1.122579,-0.298257,-1.416058,-1.744666,I
-3.079021,1.00259,-1.275345,1.154069,-1.044248,1.537959,-1.985278,0.266595,J
1.772319,0.033762,0.997585,0.131649,-0.485186,1.039525,0.466655,0.2256,Q
-1.346318,3.723028,-0.826799,1.526563,0.010007,-0.569293,-1.957711,0.547678,F
2.096148,-3.350469,-1.313782,1.449473,2.577782,0.778586,-0.780894,0.839892,J
-0.032859,-1.581946,1.042959,0.710987,-1.488469,-0.156459,-0.760325,0.869102,R
-0.156226,0.604029,-1.70593,0.080814,-0.165121,-0.486962,-0.190451,0.892058,S
1.128493,-0.517431,0.399664,-0.257277,-0.254457,-0.290778,0.025939,0.203657,H
-1.51788,-0.91564,1.181881,1.016676,-1.354542,-0.256122,1.219113,0.190777,B
-0.645863,-3.02787,-1.435312,-0.06779,0.373829,1.675332,0.077717,0.575314,Q
3.301709,-2.960612,0.154019,2.146411,0.67,-0.664139,0.476379,-0.893079,A
1.986352,3.138669,0.7468,0.016265,0.831933,1.016255,0.120496,-1.332497,Y
0.886787,0.643023,0.707017,-0.613224,-0.681033,-0.51451,-2.454861,0.511226,P
2.093524,2.232047,-0.143373,-1.013655,-0.436414,1.228102,0.662809,-1.380482,T
-0.031,0.631135,1.640771,-0.21831,-0.120769,0.701115,1.370464,-0.822566,C
0.076726,-0.467287,3.099072,-0.156568,1.60178,-0.640496,-2.74314,0.810424,H
1.84154,-0.278617,-0.15457,-1.263389,0.573877,0.922689,0.319207,0.531919,G
-1.027795,1.090144,1.004759,-0.049305,0.297411,-0.952324,0.141103,-0.056466,N
-0.710127,-0.534406,-1.677005,-1.087536,-2.392286,0.614361,-0.045105,0.176973,Z
-3.295386,1.681027,1.48966,1.209629,-1.953378,0.114534,1.312653,-0.535119,P
2.335842,-0.091228,-2.172914,0.114174,-0.570784,-0.047938,0.897881,0.902927,Z
3.362946,-0.95477,-0.664268,-2.868331,-0.549264,0.323073,1.476293,0.638188,E
2.11153,-1.350416,-0.599361,1.112247,-0.164631,0.848254,-0.048172,0.128684,R
1.093376,0.435029,-1.542708,-0.074163,-0.072871,0.773285,1.011652,0.444671,E
0.826466,-0.655934,-1.420108,0.295363,-0.452835,1.558308,0.27837,-0.032839,E
-3.821554,1.114367,0.79527,-1.95514,-1.000242,2.196582,0.863037,-0.424927,Q
-2.907175,1.902612,-2.907209,0.467005,0.68591,-1.368476,-1.163291,0.684915,T
-1.65206,1.196504,-2.213145,0.691947,-0.281956,-0.787097,-0.364443,0.241618,F
-1.652517,-0.149118,0.204462,-0.573578,-0.561861,-1.653444,-1.996301,-0.124451,D
4.588824,-2.527361,-0.269503,1.756239,1.588818,1.025487,0.667802,0.893265,J
-2.080666,1.821491,1.028209,0.80792,-1.847989,-0.914562,-0.015468,0.587681,Y
-0.293693,0.662529,-1.166008,-0.026532,-0.064066,-0.554177,0.329693,0.349167,S
-0.731822,-1.18159,0.058073,-1.106093,-0.292822,-1.009233,-1.652737,-0.086298,O
-2.189982,0.337425,1.772693,0.505846,-0.579024,1.114717,0.631827,-0.058569,O
1.451806,-0.672012,-3.104154,-1.735168,-1.373644,0.093378,-0.084663,0.453036,Z
-4.497035,-0.112256,-1.487492,0.603897,-0.273653,-1.07446,0.276048,0.602939,D
3.151137,0.096932,-2.292783,0.989726,0.77604,0.517632,0.433721,-0.102737,I
-1.387599,-0.27258,-0.496126,2.898126,-0.211689,-0.369404,-0.632017,-0.440053,N
1.454147,-0.681786,2.654443,0.401324,0.797526,-0.254185,-1.590125,0.677465,H
-1.647841,1.528636,-0.004628,-2.203434,1.93469,-0.140937,0.233607,0.334194,U
0.340034,-0.431212,1.721797,0.412269,0.087789,0.153334,1.360754,0.095086,C
-3.907504,1.200113,-0.393855,-0.260147,-0.232209,-3.40538,1.861817,1.475004,U
-2.702495,1.261313,0.322244,-0.817644,1.022022,0.408387,-0.547586,0.181875,O
-0.145795,0.237819,-0.577906,-1.758608,-0.885642,-0.264429,1.828426,-0.252586,E
-1.563468,-1.548609,0.235407,2.383148,0.363991,-0.188708,1.382187,0.474375,M
0.728293,1.661818,0.526501,-0.858308,-0.61172,1.412031,0.590241,-1.905812,Y
0.220859,-0.066805,-0.141103,-2.314578,1.044084,1.530931,-0.586949,0.186677,C
-0.471513,1.647124,-0.56771,0.874108,-0.8253,-1.556455,-0.250269,0.234111,Y
1.629829,0.497896,-2.167862,0.465113,-0.958486,-0.064398,0.357239,0.845105,Z
3.247251,-0.209469,-1.516178,1.603606,1.579646,0.2817,0.630531,0.827001,J
2.151733,-0.354691,-0.594931,1.025939,-0.997133,0.962626,-0.088599,0.456078,B
3.055435,-0.580625,0.234436,-2.297664,0.344072,1.351923,0.885175,0.689528,C
-0.739857,-1.157095,-1.032004,-2.141794,-1.649985,-0.197286,-0.911737,-0.50589,S
2.312012,3.93966,-0.361451,0.490261,-0.187429,-0.873522,-1.460297,1.113739,F
-0.719613,0.674317,0.422664,-0.678408,0.213256,0.479646,-0.13831,0.298291,O
-1.698161,2.17397,-1.998647,0.582655,0.093711,-1.108645,-0.739446,-0.083702,T
4.040738,-0.845802,1.751779,-0.657491,0.487852,0.222982,0.442002,-0.124302,K
-0.144727,0.3863,0.455809,-1.501364,-1.34724,0.979488,1.543109,-0.686773,E
-3.366265,-1.451663,-1.059953,0.977962,-0.191638,1.288079,-1.172065,-0.47382,F
-0.581523,2.780531,0.532885,0.224069,0.685369,0.412346,-0.158921,-1.708676,V
-0.307271,-2.904051,-0.464054,1.314883,0.149895,2.507787,-0.425589,-0.7764,Q
-1.883241,4.096644,-1.290464,-0.608774,0.346204,-0.887575,-0.23418,-0.466351,Y
2.176015,3.914884,-0.971729,0.525989,-1.169923,-0.983055,0.631556,0.357441,Y
0.26916,-0.522654,0.588058,-0.575116,0.096795,-0.425974,-0.627185,0.397968,O
2.061364,0.971014,1.168998,1.251891,-0.832672,-1.235426,0.63584,0.486134,N
-0.924963,-3.041442,-0.015782,2.055341,1.148503,-0.916376,1.265496,-0.680725,A
1.809311,1.69928,-1.621754,1.132023,0.085811,0.304148,-0.270508,0.402223,F
-0.836009,-1.487332,0.236769,-0.778123,-0.850679,-0.099777,-0.177741,0.392679,R
1.648511,1.962735,-0.413603,-0.057949,0.213962,1.071373,0.200315,-1.674697,T
-2.954173,-1.025899,0.244822,1.674794,1.029929,-0.202418,1.508992,0.296792,M
2.37663,-0.120897,0.248354,0.575865,-1.202296,-0.934145,-0.477887,0.475444,D
-0.953659,1.844292,0.181619,1.502351,-1.079713,0.796623,-2.897577,0.154176,P
-0.843797,-0.588807,-3.471131,-2.330082,-1.55411,-0.0694,-0.086439,0.873052,Z
-0.609805,1.354901,-0.618691,0.927309,-0.316987,-0.901906,-0.014225,-0.134055,Y
0.500579,3.063323,-1.511579,0.927731,-1.106326,-0.811894,0.55041,0.980369,T
-4.240248,-2.307831,-0.869654,1.508655,-0.43884,-0.269622,-0.085987,1.476931,B
2.904721,-2.373047,0.50335,1.929387,0.114102,-1.16032,1.009003,-0.820494,A
-1.628496,-0.241506,0.464444,-0.15963,-1.123299,-1.382022,0.015142,1.125949,A
-1.360925,3.307982,0.954285,0.355631,0.784311,-0.411479,1.118796,0.363832,W
-0.466983,0.741524,1.139478,1.203858,-1.246778,1.057203,-0.112286,-0.781082,P
-0.040566,-1.109384,0.632649,1.198012,1.303962,-0.397742,1.966476,1.207201,M
-1.34023,-0.224947,0.835154,-1.418308,-0.259802,-1.632881,1.274018,1.063852,U
2.102301,-0.71422,-0.29793,-0.964287,-1.308672,0.407921,0.43224,0.667578,E
0.884052,-0.684717,3.880564,-0.095559,0.917652,-0.873324,-1.423199,0.918834,N
-0.352106,2.951134,0.367999,-0.789866,1.107141,0.890741,0.1013,-0.998955,V
-0.724835,2.395898,-0.138039,0.576861,-0.724962,-0.070827,-0.996742,-0.007207,P
-2.476443,0.815121,-1.472235,2.032097,-0.538712,0.109157,-1.46795,0.541477,P
-1.890283,2.696089,0.349377,-0.044963,-0.224346,0.909494,-1.404768,-0.477234,V
0.622344,-0.605369,-0.181745,-1.098108,0.626708,1.464071,0.195257,0.173514,G
1.847149,-3.230879,-0.226574,0.501026,3.365795,0.650748,-0.243251,1.430133,J
1.525282,-2.757293,-0.222656,1.839532,0.889106,-0.182867,0.840175,-1.02762,A
-2.931673,-1.625469,3.240305,0.697529,1.898376,-1.043951,-0.535165,1.403497,M
2.32676,3.841792,-1.155125,1.63542,-0.690782,-0.579758,-0.750337,0.848433,T
0.088483,-0.409772,0.655829,-0.449805,-0.199458,0.743813,0.014421,0.814147,Q
-1.007854,0.874912,-2.010589,1.825108,0.189651,0.820073,-0.91567,0.236769,F
0.267151,-0.301095,-1.737967,-0.052537,-0.048165,-0.301106,-0.009384,-1.87294,I
-2.263364,1.540167,0.800364,-1.121867,0.938259,-0.334027,0.77746,-0.692234,U
1.576888,-2.872015,0.265144,0.293432,3.465736,0.858072,-0.644028,1.480056,J
1.141931,1.188606,-1.48886,0.536389,-0.257633,-0.171559,0.464302,0.799412,S
-2.003936,-1.442215,0.838882,-0.747555,0.176575,-0.148841,-0.60231,-0.714559,L
0.621714,-0.82707,-0.822625,1.534901,-0.367613,1.611685,-1.856201,-0.377228,J
-3.038283,-0.64796,0.394568,-0.018366,-2.36471,0.956607,-0.060419,0.424978,S
1.867633,1.99468,1.476217,0.158935,0.179985,1.775588,0.491674,-1.986966,V
-0.532847,-1.126115,-0.296821,-2.759173,0.799407,-0.126402,0.025092,-0.73368,C
-0.315511,-0.863566,0.474147,-0.932077,0.465417,-0.470072,0.033831,0.800908,O
-1.524557,-0.824387,1.845732,-1.115701,-0.77228,1.688959,0.131399,-0.844733,Q
-4.013182,1.287861,-2.472021,0.168884,0.234805,-2.612662,1.617549,2.359412,Z
2.046319,-0.786541,-1.192066,-3.992016,0.120697,-0.413875,1.12662,0.453396,E
1.781662,0.233983,0.135427,-2.251634,0.315563,1.083794,0.545684,1.024798,C
-3.173716,0.549735,0.12811,0.661181,-0.231408,-1.017308,1.212535,-0.09213,A
0.228334,0.835414,0.963779,-1.465045,0.756174,-0.105037,0.14207,-0.742687,U
-3.74482,-0.616067,-0.25808,3.332243,-0.752792,0.963211,-1.255148,-1.170599,N
-2.86362,-2.070579,0.210612,2.261192,0.505362,-0.143532,0.300528,-0.079091,M
-0.602061,0.272547,0.368609,0.764807,-2.24913,0.383871,0.114751,0.78834,S
0.714831,0.625165,0.987239,0.972279,-0.983191,-0.941728,0.505382,0.460924,N
