id,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
127,8,9,8,6,6,2,12,2,2,10,10,8,7,11,1,7,W
128,3,10,5,7,2,7,7,0,9,14,6,8,0,8,1,8,I
129,3,7,3,5,2,1,12,4,5,12,11,7,0,8,1,6,F
130,5,8,6,10,8,7,9,5,5,7,6,7,4,9,9,7,F
131,4,9,5,7,2,10,6,2,8,14,3,8,0,7,0,8,J
132,5,9,5,7,2,3,12,4,4,10,12,7,3,10,1,8,V
133,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,M
134,9,13,10,8,6,11,11,7,3,4,7,9,9,13,3,6,M
135,4,8,4,6,4,7,7,7,4,10,6,8,3,8,3,6,O
136,1,3,3,1,1,8,8,2,5,14,5,8,1,7,0,8,J
137,3,8,4,6,2,3,6,6,11,7,7,14,0,8,7,7,E
138,6,9,8,5,4,9,3,3,2,9,3,9,8,2,1,9,M
139,9,13,10,7,6,4,9,4,6,10,10,11,5,8,4,6,K
140,5,9,7,6,6,5,10,5,5,10,8,3,1,10,3,7,P
141,5,10,7,8,4,10,3,2,3,8,1,7,2,7,3,8,A
142,2,5,3,3,2,6,7,5,5,9,7,10,2,9,4,9,G
143,5,9,5,4,3,10,7,4,5,7,9,5,4,11,2,7,V
144,2,2,3,3,2,8,7,3,8,6,6,7,2,8,5,7,X
145,1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8,A
146,6,10,8,8,5,8,6,3,9,12,4,9,3,6,8,9,Z
147,4,9,5,6,5,7,6,7,6,6,8,10,2,11,9,7,S
148,8,9,11,7,8,10,6,2,5,9,3,6,10,8,3,9,M
149,4,10,4,8,4,7,8,3,12,9,6,8,0,8,7,7,Z
150,4,8,5,6,3,7,7,12,1,7,9,8,8,6,0,8,M
151,12,13,11,7,5,8,11,3,3,5,10,7,8,12,1,6,W
152,7,11,7,8,5,5,10,0,8,11,9,6,1,9,3,4,T
153,2,7,3,5,2,3,7,6,10,7,6,14,0,8,7,8,E
154,1,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8,I
155,5,9,5,4,3,5,9,3,6,9,8,9,5,7,3,7,H
156,4,9,5,7,3,6,8,7,7,7,10,9,3,9,1,8,U
157,4,7,4,4,1,7,7,5,4,7,6,8,3,8,4,8,X
158,3,3,4,2,1,4,12,3,2,10,11,7,2,11,1,8,V
159,5,9,6,4,4,7,9,2,3,7,8,6,8,11,2,7,W
160,3,4,5,3,3,10,6,3,7,10,3,6,2,8,3,9,D
161,4,2,5,4,4,7,8,4,6,7,5,7,3,7,4,8,R
162,3,5,5,4,2,8,7,3,7,10,6,7,1,9,5,8,S
163,7,10,6,5,3,7,8,2,7,11,6,6,2,9,5,6,F
164,5,7,6,6,6,8,6,5,4,7,5,8,7,9,6,3,N
165,3,5,5,8,3,11,5,3,5,10,2,7,2,7,5,11,Z
166,3,5,4,7,2,7,7,4,14,10,6,8,0,8,8,8,Z
167,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,I
168,8,12,6,9,5,7,11,3,3,13,5,4,3,9,9,9,J
169,2,3,3,4,3,8,8,5,2,8,8,9,2,9,5,8,Q
170,5,10,7,8,4,5,13,5,4,13,8,3,2,10,2,5,F
171,2,7,2,5,1,13,2,7,5,14,2,11,0,7,0,8,J
172,3,7,4,5,4,8,8,7,2,7,4,6,4,6,8,8,R
173,4,8,5,6,3,7,8,4,8,11,7,7,2,8,5,6,S
174,3,5,4,4,3,7,7,6,6,7,6,8,3,8,3,8,H
175,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,B
176,6,9,5,4,3,10,4,4,7,11,3,10,3,7,7,11,Q
177,1,3,2,2,1,9,2,2,1,8,2,8,1,6,1,8,A
178,3,6,4,4,1,5,11,2,2,8,12,8,1,11,0,8,Y
179,3,8,3,6,2,5,9,10,5,8,6,5,2,9,4,8,P
180,2,6,3,4,2,8,12,2,8,5,11,9,1,11,1,8,T
181,4,6,5,4,5,7,7,4,3,6,8,10,5,11,3,8,C
182,5,9,5,6,2,7,8,15,0,7,5,8,3,8,0,8,H
183,2,5,3,4,2,6,7,6,6,10,7,11,2,9,4,9,G
184,4,9,6,7,4,6,9,6,5,7,7,8,6,9,2,6,N
185,4,8,5,6,5,8,8,3,8,7,7,7,0,8,11,8,Z
186,5,8,6,10,8,9,9,2,3,6,9,6,9,11,7,5,P
187,2,3,4,2,1,7,7,2,9,11,6,8,1,8,5,7,Z
188,2,1,2,1,1,4,7,5,8,7,6,13,0,8,7,9,E
189,2,4,4,2,2,8,7,3,5,10,4,7,2,7,3,10,R
190,3,5,5,3,3,7,8,2,8,11,7,9,2,9,4,8,E
191,3,5,5,4,3,8,7,2,7,11,5,8,2,9,5,10,E
192,7,9,7,11,8,7,10,4,4,7,10,11,5,11,10,9,Q
193,8,15,7,9,3,6,10,3,8,13,6,6,2,8,5,4,T
194,7,12,6,6,3,7,8,2,7,11,6,6,2,9,6,5,F
195,5,11,6,8,6,6,7,9,7,6,5,5,2,8,3,7,D
196,0,0,1,1,0,12,4,5,3,12,4,11,0,7,0,8,J
197,4,7,6,9,7,9,10,7,4,7,7,6,5,11,6,3,Y
198,4,8,5,6,4,6,8,3,6,10,7,8,2,8,5,6,S
199,4,10,5,8,3,7,6,9,8,6,4,7,3,8,4,8,O
200,5,8,7,6,8,8,10,5,3,7,7,8,7,9,4,9,O
201,2,7,3,5,1,7,7,3,13,9,6,8,0,8,8,8,Z
202,9,15,8,8,6,8,6,3,7,10,5,7,6,8,8,5,D
203,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,I
204,5,8,8,6,4,10,7,3,5,10,2,4,5,9,1,7,N
205,3,6,3,4,3,8,8,12,1,7,5,8,3,8,0,8,H
206,6,10,8,7,5,4,8,7,8,9,11,11,3,9,1,8,U
207,3,6,4,4,4,8,6,5,2,7,7,10,6,9,4,7,C
208,8,10,8,8,7,5,7,5,8,8,6,9,8,8,6,1,U
209,9,13,6,7,4,5,8,6,4,10,8,9,5,10,5,8,O
210,3,7,5,5,5,5,7,3,6,7,6,12,2,10,8,6,E
211,6,6,8,4,5,10,6,2,5,9,4,7,8,6,2,8,M
212,3,7,6,5,2,9,10,2,7,3,12,8,2,11,2,9,Y
213,3,9,4,7,3,6,8,8,7,10,7,12,2,10,4,10,C
214,5,9,5,5,3,6,7,4,5,9,7,5,3,10,5,4,Y
215,2,4,5,3,2,7,8,2,9,11,7,6,1,8,5,7,Z
216,1,4,2,2,1,8,7,2,5,14,6,9,1,7,0,7,J
217,2,4,3,2,2,8,8,3,5,10,6,6,2,8,5,9,B
218,2,1,3,2,1,6,8,7,7,8,7,13,1,9,4,10,C
219,4,10,5,8,3,8,7,6,9,4,6,8,0,8,9,8,S
220,3,3,4,4,1,1,15,5,3,12,9,4,0,8,2,6,F
221,6,10,4,5,3,6,8,6,5,9,7,9,5,10,5,8,O
222,6,14,5,8,3,6,10,2,6,11,7,6,2,9,5,4,T
223,1,1,1,1,0,4,6,6,2,7,6,10,3,8,2,10,K
224,3,7,4,5,5,6,8,3,5,6,7,11,4,11,8,8,E
225,8,14,7,8,5,10,6,3,5,10,4,6,4,8,7,10,F
226,5,10,5,7,4,4,11,1,2,8,10,7,3,10,1,8,V
227,5,9,5,4,3,12,3,3,4,10,3,8,3,9,5,12,Q
228,7,11,7,8,4,3,10,2,7,10,12,6,2,11,3,5,Y
229,3,3,4,2,1,4,10,2,7,10,10,5,2,12,3,4,Y
230,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,O
231,2,2,3,3,2,7,8,5,4,7,7,6,5,9,2,5,N
232,4,9,6,6,4,10,2,1,2,8,3,9,5,5,3,7,A
233,2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,7,F
234,4,8,6,6,4,7,8,6,6,6,5,8,4,6,7,9,R
235,3,5,4,7,1,9,14,0,6,5,11,8,0,8,0,8,T
236,7,8,10,6,6,9,6,2,5,9,6,8,8,6,2,8,M
237,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,D
238,5,8,8,6,4,6,12,7,2,11,5,2,1,10,4,9,P
239,5,5,7,8,3,7,7,4,15,9,6,8,0,8,9,8,Z
240,6,9,5,5,3,7,7,3,5,9,7,6,3,10,4,5,Y
241,4,5,5,4,3,6,11,2,8,11,9,5,3,10,4,4,T
242,9,12,8,7,7,10,7,4,6,10,3,6,7,4,8,8,B
243,2,1,3,2,1,8,2,2,1,7,2,8,2,7,2,7,A
244,4,9,6,7,6,8,7,8,4,7,6,8,3,8,8,4,A
245,7,7,7,5,4,3,11,3,3,10,10,8,7,10,2,6,W
246,3,5,4,8,6,8,9,3,1,8,7,6,4,10,5,8,P
247,4,4,7,3,4,7,5,3,4,10,8,9,7,5,2,8,M
248,4,9,6,6,5,6,8,8,5,6,5,12,5,8,7,4,U
249,3,1,3,3,2,7,7,5,8,7,7,8,2,8,6,9,E
250,4,6,4,4,2,7,7,14,1,5,6,8,6,8,0,8,N
251,4,9,7,7,3,5,12,3,4,8,12,9,2,10,1,8,V
252,4,9,5,7,4,5,10,4,5,10,9,4,4,10,4,7,P
253,7,13,6,7,4,9,8,4,5,13,4,4,4,10,6,6,P
254,7,13,6,7,3,7,11,5,5,8,11,5,4,11,4,8,V
255,4,6,5,4,3,7,6,6,6,10,6,11,2,10,4,10,G
256,2,7,3,5,1,12,2,9,4,13,5,13,1,6,0,8,J
257,2,6,4,4,2,10,3,1,2,8,3,9,2,6,2,8,A
258,6,11,7,8,7,8,6,11,1,7,8,8,9,4,1,8,M
259,3,4,4,2,1,5,13,3,6,12,9,3,1,10,1,5,T
260,4,5,4,6,4,8,6,7,4,9,8,9,3,9,6,8,Q
261,5,9,7,6,4,8,9,2,6,14,5,5,2,9,3,8,F
262,2,11,3,8,4,8,7,0,7,7,6,8,0,8,3,7,I
263,6,10,8,8,5,6,9,5,7,6,9,10,6,10,1,7,U
264,2,5,3,8,1,12,3,10,3,13,6,13,1,6,0,8,J
265,3,5,6,3,2,7,8,3,7,11,8,7,1,9,4,6,S
266,5,11,6,8,6,6,6,6,5,6,5,8,5,7,4,10,L
267,3,6,2,9,2,9,8,3,3,12,4,5,2,8,5,10,J
268,5,10,6,8,8,8,8,5,3,8,5,7,5,9,12,8,S
269,2,6,4,4,2,8,12,2,2,5,10,9,2,11,0,9,V
270,4,10,5,8,4,6,7,6,8,5,7,12,1,7,4,9,C
271,4,8,5,6,4,8,7,8,6,7,7,10,3,7,4,7,O
272,5,7,6,8,6,9,8,6,2,4,8,10,3,9,7,10,Q
273,8,13,9,7,6,5,9,2,9,12,8,8,6,5,8,2,Z
274,2,6,2,4,2,3,6,6,10,7,7,14,0,8,7,8,E
275,3,2,4,4,2,6,8,8,8,9,8,12,2,10,4,9,C
276,6,9,9,8,8,8,8,3,5,7,7,8,5,8,4,5,A
277,4,8,5,6,3,6,9,6,6,5,9,10,3,9,1,8,U
278,7,11,10,8,6,12,7,3,5,10,0,3,7,11,2,9,N
279,6,9,9,7,6,10,5,3,5,9,3,6,8,6,2,9,M
280,4,6,5,4,6,8,10,5,4,8,5,6,4,9,8,7,S
281,4,3,4,4,3,7,8,5,5,7,6,6,6,9,3,6,N
282,2,1,2,1,2,7,7,5,6,7,6,8,2,8,5,10,E
283,3,7,4,5,3,5,11,5,4,11,8,4,1,10,4,7,P
284,1,0,2,1,0,7,9,1,2,6,12,8,1,10,0,8,Y
285,3,10,4,7,2,7,6,8,8,6,6,11,2,8,5,11,G
286,6,10,8,8,5,8,6,2,9,12,4,11,3,7,8,9,Z
287,2,6,3,4,2,8,6,0,7,13,6,9,0,7,2,8,I
288,2,1,3,2,2,7,8,4,5,6,5,7,2,6,5,8,R
289,3,7,4,5,3,6,8,5,10,7,7,10,2,9,8,8,Z
290,3,1,4,3,2,7,12,4,6,7,11,8,2,11,1,8,T
291,4,9,6,7,4,8,5,2,9,11,4,10,2,7,7,9,Z
292,4,9,6,6,2,7,6,7,9,7,5,11,1,8,5,10,G
293,3,6,4,4,4,7,8,4,6,8,8,6,5,9,3,7,F
294,2,3,4,2,2,6,7,2,6,10,8,11,3,8,2,8,K
295,2,4,3,3,2,6,6,5,4,8,7,10,2,8,4,10,G
296,4,7,5,5,2,7,6,7,9,6,5,10,1,8,6,11,G
297,7,8,7,6,5,4,11,3,3,9,9,7,7,11,2,6,W
298,1,3,2,2,1,7,7,5,8,6,6,8,2,8,6,8,Z
299,7,10,10,8,7,5,6,1,7,9,8,11,3,8,3,8,K
300,3,2,5,4,2,8,2,2,2,7,2,8,2,7,2,7,A
301,4,8,5,6,6,9,9,5,4,8,4,6,4,9,9,7,S
302,7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6,W
303,2,3,3,5,1,0,1,5,6,0,0,7,0,8,0,8,L
304,3,6,5,4,4,7,8,4,5,9,6,5,2,8,6,6,B
305,6,11,8,8,8,6,8,8,4,7,5,7,3,7,7,10,H
306,4,7,6,5,4,7,8,3,6,10,7,8,3,8,3,8,H
307,2,8,3,6,2,8,7,0,7,13,6,8,0,8,1,8,I
308,8,10,8,5,5,8,6,3,5,10,6,7,7,11,5,8,H
309,5,11,6,8,3,5,8,8,8,8,8,14,2,9,4,9,C
310,3,3,4,4,1,5,8,6,9,6,7,11,1,7,4,9,C
311,5,8,6,7,6,6,9,5,7,8,8,8,4,13,9,6,T
312,3,1,4,3,3,8,6,6,4,7,7,8,7,5,1,7,M
313,2,1,3,2,2,7,7,5,5,6,5,6,5,7,3,8,R
314,7,9,7,4,3,7,8,3,7,9,6,8,6,8,3,7,K
315,3,1,5,3,3,7,11,2,2,7,9,8,7,11,0,8,W
316,4,5,4,4,2,6,11,2,7,11,9,4,1,11,2,4,T
317,6,8,6,6,4,4,13,5,5,11,9,4,2,12,1,5,T
318,3,8,4,6,2,7,7,0,6,13,6,8,0,8,1,8,I
319,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,L
320,4,9,5,7,5,8,6,7,7,6,6,6,2,8,7,10,B
321,6,11,7,8,5,7,7,1,7,7,6,8,0,8,4,8,I
322,5,9,5,4,2,7,7,3,6,9,8,9,6,11,3,7,K
323,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,U
324,4,6,4,4,2,2,12,3,3,11,11,8,2,11,1,8,V
325,1,0,2,1,1,8,7,6,3,6,6,9,2,8,3,8,Q
326,4,4,5,6,3,7,5,7,8,6,5,8,2,8,6,11,G
327,4,4,6,6,2,8,7,8,8,7,6,9,3,8,4,8,O
328,2,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,Z
329,3,4,5,6,2,7,5,7,8,6,5,11,1,8,6,11,G
330,3,6,5,4,2,7,10,2,7,6,12,9,2,11,2,8,Y
331,5,10,7,7,8,8,5,8,4,8,6,8,3,9,8,3,A
332,2,3,4,1,2,8,6,3,4,9,6,7,6,5,1,7,M
333,9,11,7,6,4,8,7,5,5,10,3,8,6,6,6,11,R
334,4,8,5,6,5,8,8,6,7,7,6,6,2,8,7,10,B
335,4,8,6,6,4,7,10,2,3,7,9,8,8,11,1,8,W
336,4,11,4,8,5,3,9,5,10,7,6,14,0,8,6,8,E
337,4,6,4,4,2,3,12,5,4,11,12,7,3,10,1,8,V
338,0,0,1,0,0,3,11,4,2,11,8,6,0,8,2,8,F
339,3,6,4,4,2,7,7,7,4,9,6,8,3,8,3,8,O
340,4,5,5,4,4,8,4,4,4,9,4,10,3,6,6,6,O
341,5,11,8,8,13,8,5,6,3,7,6,8,14,10,4,9,W
342,3,3,5,1,2,9,6,3,5,10,4,8,3,8,2,9,H
343,2,3,2,1,1,7,7,5,5,7,6,9,2,9,4,9,G
344,3,10,4,7,1,0,1,5,6,0,0,7,0,8,0,8,L
345,5,10,7,8,6,6,6,6,4,7,6,9,5,8,7,10,P
346,3,2,3,3,2,8,8,7,5,8,5,7,2,8,8,8,S
347,3,7,5,5,5,8,8,7,4,6,6,8,2,8,6,5,A
348,5,9,6,6,5,5,8,9,7,7,7,6,2,8,3,8,D
349,4,8,6,6,4,6,8,7,7,11,7,5,3,8,4,8,D
350,3,6,5,4,2,7,9,1,6,14,5,6,0,7,0,7,J
351,4,8,5,7,4,6,7,4,6,7,6,8,3,9,8,10,L
352,13,15,13,8,7,3,8,6,6,4,2,13,9,11,2,8,M
353,5,10,8,8,8,8,11,2,3,6,8,8,8,10,1,8,W
354,5,8,7,6,3,5,8,5,1,7,8,8,8,9,0,8,W
355,5,11,6,8,8,7,8,4,5,6,7,9,7,7,8,7,T
356,5,10,8,7,4,8,10,1,8,5,12,8,1,11,2,8,Y
357,1,0,2,0,0,7,8,3,0,7,8,8,5,9,0,8,W
358,5,11,6,8,7,8,7,5,5,10,5,5,3,8,3,8,D
359,5,9,7,7,6,9,6,2,7,11,4,9,3,8,5,11,E
360,2,1,3,2,2,5,7,4,7,7,6,11,3,8,4,9,K
361,4,7,5,5,3,7,7,8,5,8,7,10,3,8,3,7,O
362,5,10,7,7,9,8,8,3,4,6,6,9,10,10,7,7,K
363,5,8,6,7,6,7,4,5,4,7,4,9,5,4,7,6,Q
364,2,0,2,1,1,8,6,6,5,6,5,9,1,8,5,10,G
365,6,10,6,5,4,9,6,4,6,10,5,8,3,8,9,9,Q
366,6,8,6,6,4,4,9,1,8,10,10,6,0,10,3,4,Y
367,2,1,2,2,1,7,8,7,6,8,7,11,2,9,3,10,C
368,6,10,8,8,7,9,6,2,7,11,4,9,5,7,6,11,E
369,2,3,3,2,1,8,6,3,6,14,6,10,0,7,0,8,J
370,3,5,6,4,3,5,7,2,8,11,9,11,4,7,4,7,K
371,6,10,8,8,11,7,6,4,5,7,7,8,11,9,7,10,U
372,2,2,3,3,2,8,7,5,5,6,6,5,2,8,7,9,B
373,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,K
374,2,2,3,4,2,6,8,7,7,8,8,13,1,9,4,10,C
375,8,11,11,8,7,4,11,3,4,10,10,8,6,8,1,7,N
376,4,7,4,5,3,6,11,5,5,11,8,4,3,12,2,4,T
377,4,6,4,4,2,7,7,14,2,5,6,8,6,8,0,8,N
378,5,6,5,4,4,5,11,3,2,9,8,7,6,12,2,7,W
379,6,9,5,4,3,11,3,4,5,11,3,10,3,8,5,13,Q
380,9,14,7,8,5,6,8,5,7,10,6,8,6,6,7,9,B
381,2,1,2,2,1,8,11,3,5,7,10,7,2,11,1,7,T
382,2,3,3,1,1,7,9,2,5,13,6,5,1,9,2,8,F
383,6,13,5,7,3,8,7,3,7,11,5,7,2,9,5,6,T
