@relation letter-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R17_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A16-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R9-16

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
0.000151,0.013608,-0.006647,0.00551,-0.003439,0.004978,0.012443,0.005628,V
0.004678,0.000316,0.004941,0.001258,-0.004878,-0.001865,0.004455,-0.000835,X
-0.016197,0.001041,-0.004083,-0.002158,-0.019884,-0.007004,0.002152,-0.005335,V
0.000523,-0.014737,-0.001335,0.000685,-0.019714,-0.008723,-0.003915,-0.003283,M
-0.002454,0.001759,-0.00019,-0.009513,-0.007212,0.005901,0.005891,0.009713,Y
-0.001027,-0.004172,-0.000076,0.00094,-0.000556,0.000461,0.010132,-0.003453,D
0.004265,0.003352,-0.006958,0.007924,-0.002672,-0.005229,0.002296,0.000861,E
-0.001991,-0.015108,-0.00189,-0.004965,-0.003102,0.000654,0.006627,-0.008769,N
-0.004179,-0.011868,-0.000293,0.001612,0.009152,0.012531,-0.009588,0.003286,A
0.003332,0.003906,0.004116,0.000258,-0.00942,0.005671,0.007899,-0.004001,D
0.00785,0.004122,0.004844,-0.001269,0.006042,-0.000991,-0.013963,-0.010214,Z
-0.002418,-0.005714,-0.001326,0.00087,0.000232,0.000473,0.002834,-0.001245,N
0.003694,0.000463,-0.003052,0.002556,0.009391,0.003756,-0.011202,0.009236,X
-0.014946,-0.002516,-0.00982,-0.003055,-0.003306,-0.009442,-0.000807,0.005934,F
0.000832,-0.007723,-0.012542,-0.002815,0.002038,0.003836,-0.014058,-0.009374,N
-0.019772,-0.006435,0.003634,0.006762,-0.017158,0.015069,-0.006952,0.021358,L
-0.005323,-0.007464,0.000069,-0.003949,-0.003684,0.000359,0.005703,-0.000165,N
0.002442,-0.004879,0.002296,0.001544,0.006402,-0.003991,0.006915,-0.005092,Z
-0.007534,0.011593,0.002185,-0.009018,0.001968,0.020587,-0.000113,0.003399,Y
0.002772,-0.001265,-0.004747,0.000596,-0.008517,-0.000878,0.013223,0.002167,I
-0.020776,-0.003,-0.014081,-0.014744,-0.009981,-0.012581,-0.006531,0.001976,W
0.001845,0.001105,0.000073,0.00463,-0.00723,-0.007257,0.01087,-0.002367,U
0.00095,0.004778,-0.004795,-0.015818,0.009564,0.000358,-0.004673,-0.006026,O
0.000694,0.000018,-0.003502,-0.006206,-0.004621,0.00079,0.009974,-0.002443,T
-0.003151,-0.00322,0.010689,0.001254,-0.003617,0.006875,-0.00161,-0.004825,O
-0.011334,0.000926,-0.005898,-0.003502,-0.015291,-0.017864,0.000758,0.008634,P
-0.004726,0.001121,-0.000756,-0.00366,0.005878,-0.007277,0.010157,-0.002189,C
-0.012466,0.005067,-0.003762,0.004758,0.015025,-0.003361,0.003503,0.000755,G
-0.009324,0.010301,-0.009807,0.000863,-0.006224,-0.005228,-0.001894,-0.006801,B
-0.003454,-0.002015,-0.002084,0.002995,-0.000857,-0.005156,-0.001044,-0.004867,K
-0.011819,-0.000434,0.002395,-0.015674,-0.003329,-0.006159,-0.003142,0.004925,W
0.013627,0.004776,-0.012751,0.014924,-0.003503,0.00428,0.000528,0.000972,V
-0.004231,-0.004994,-0.01589,0.002319,-0.007901,-0.003702,-0.000377,-0.007273,W
0.002831,0.003441,-0.000834,0.004197,-0.004136,-0.001827,-0.01101,-0.001197,H
0.011775,-0.001255,0.001379,-0.002288,0.002116,-0.010187,0.000316,0.004636,Z
0.001648,-0.012887,0.000141,-0.001617,0.005071,-0.005351,0.012098,0.001107,J
0.001148,-0.003235,-0.002284,-0.005733,0.000829,0.003255,0.009597,-0.003753,F
0.000527,0.003085,0.004542,0.004698,-0.005925,0.004414,-0.001198,0.000008,D
-0.00281,-0.003373,0.002647,-0.000744,0.006666,0.00106,0.006842,-0.003897,S
0.002876,-0.004742,0.006712,-0.017864,0.012389,0.003407,-0.004307,0.004011,T
0.01279,0.008015,0.00062,0.003812,-0.00342,-0.003798,-0.001203,-0.001782,O
0.008642,0.008687,-0.000338,0.004495,0.000631,-0.000949,0.003077,-0.002546,Z
0.002376,0.015931,0.002704,0.004414,0.010755,-0.000531,-0.007883,-0.004754,B
0.001915,0.00448,0.0067,-0.006876,-0.007119,-0.000347,0.009055,0.001147,F
-0.008828,-0.012526,0.00458,0.001262,-0.014964,-0.006236,-0.001639,-0.00676,M
0.031743,-0.004689,-0.010886,0.012306,-0.004821,0.001196,-0.000956,-0.000531,T
0.002235,0.001928,-0.001483,-0.016088,0.001785,0.005917,-0.013285,-0.000178,O
-0.001959,-0.001061,-0.006958,0.005766,0.000247,-0.005209,-0.001687,-0.002653,K
0.000776,-0.002887,0.000445,0.002159,0.008166,-0.004453,0.007363,-0.000603,Z
0.002594,-0.001386,-0.001839,-0.007563,-0.000062,-0.000282,0.008677,-0.003678,T
-0.005451,-0.004009,-0.016101,0.00971,-0.003012,-0.010024,-0.006285,0.005009,W
-0.009615,-0.00803,0.003619,0.002866,-0.006731,0.023877,-0.00724,0.004595,A
-0.000811,0.005787,-0.004121,0.003303,-0.003845,0.001159,-0.000865,-0.006694,Q
-0.007218,0.007452,0.02217,-0.031166,0.004903,-0.018843,-0.014232,0.025275,Z
-0.001306,0.000866,0.004923,-0.003579,-0.003672,-0.006236,-0.006402,0.00079,H
-0.018919,-0.002868,-0.00523,0.002683,-0.003899,0.001054,-0.010262,-0.006917,R
0.008654,0.000556,-0.013371,0.000435,0.00195,0.001635,0.003965,0.007669,I
0.007888,-0.004306,-0.002165,0.002519,-0.005343,0.000508,0.005351,-0.007103,R
-0.000995,-0.006624,-0.007691,0.011805,-0.000287,-0.004306,-0.007506,0.000257,U
-0.002989,0.020624,0.004516,0.007669,0.000741,0.005775,0.011823,0.00366,U
0.005332,0.003059,0.001582,-0.011529,0.013608,-0.000935,-0.00211,-0.004475,C
0.00273,0.001582,0.004502,0.004401,0.001427,0.002852,-0.001796,-0.001572,O
0.008325,0.005391,0.00006,-0.011034,0.015543,0.000985,-0.01093,-0.003031,E
0.007405,-0.008677,0.006668,-0.002579,0.001524,0.000559,0.002579,-0.002685,D
-0.006549,-0.003456,0.006243,0.000582,0.00217,0.002023,-0.001497,0.00162,U
0.002928,-0.008357,0.001421,-0.004131,-0.003852,0.003413,0.010135,-0.008692,R
0.002772,0.003353,-0.003153,0.004155,0.000986,-0.00311,0.003438,-0.005042,E
-0.003703,0.003579,0.001674,-0.001689,0.010073,-0.006333,-0.001081,0.005501,G
-0.000038,-0.008015,-0.010576,-0.001923,-0.000728,-0.001972,0.008648,-0.006792,B
0.000005,-0.01936,-0.003066,0.005663,0.007161,0.014827,-0.016901,-0.004504,A
-0.002165,0.003942,-0.008817,0.00579,-0.003315,-0.003258,0.010994,0.00433,Y
0.000536,-0.002346,-0.005134,0.007829,-0.005368,-0.010092,-0.005701,0.001083,Y
-0.001173,0.001326,0.003501,0.004791,0.00089,0.002362,-0.00214,-0.00105,O
-0.014702,0.000854,-0.000986,-0.003068,0.012298,-0.003811,0.003625,-0.00546,G
0.000666,-0.009589,0.00393,-0.001287,-0.010966,0.016375,-0.008739,0.01055,A
-0.007549,0.000429,0.002564,-0.000083,0.011429,-0.003786,0.007485,-0.003683,C
-0.012447,0.002538,0.00614,-0.006139,-0.007238,-0.00356,-0.006853,0.002292,H
-0.010992,0.00096,-0.009451,0.001376,-0.000309,-0.009993,-0.012392,-0.000103,R
0.001732,0.001895,0.008592,0.003446,-0.002433,0.009026,0.000594,0.001011,J
0.004693,0.010105,0.011342,0.007054,-0.000295,0.002303,-0.000631,-0.003467,M
0.00834,0.001106,-0.014318,0.011804,0.00049,-0.000221,-0.004094,0.009535,V
0.01029,-0.006428,-0.000779,0.000415,-0.005408,0.00286,0.006672,-0.009151,R
0.003921,0.002792,-0.014412,0.012155,0.003303,-0.004414,0.002259,0.000208,T
0.009211,0.005182,0.004883,-0.001048,-0.006086,-0.014016,-0.009423,0.003086,J
-0.002572,-0.004124,0.000181,0.000151,0.005743,0.004235,0.008673,-0.007233,S
-0.002279,-0.001675,-0.006879,0.004321,-0.007073,-0.010369,-0.007965,-0.001458,G
-0.000062,-0.002614,-0.002038,-0.003523,-0.003373,0.000976,0.01516,-0.006038,D
-0.000632,0.005229,0.002174,-0.001712,-0.00448,-0.000882,0.006766,-0.007341,G
0.007524,-0.002956,0.015294,-0.004626,-0.011334,-0.004429,-0.003706,0.010725,Z
0.004387,0.007148,0.00772,0.000811,0.002168,0.000329,-0.002535,0.000098,D
-0.005752,-0.009982,-0.001808,0.005885,-0.008847,0.018308,-0.001092,0.003961,A
0.021889,-0.001285,-0.009324,-0.000908,-0.013047,-0.002123,0.009781,-0.002076,T
-0.002997,0.005148,-0.005757,0.004373,0.003606,0.005271,0.004338,-0.012408,G
-0.004001,-0.012115,-0.007179,0.002382,0.001398,0.006376,0.005384,-0.001583,L
-0.01133,0.002032,0.01705,-0.000792,-0.007525,0.004655,-0.008245,0.000348,W
0.003889,-0.003946,-0.006555,0.002625,-0.008765,-0.003291,0.010215,0.005764,I
-0.015471,-0.006274,-0.002687,0.000305,-0.013669,-0.016777,-0.010386,-0.010252,M
0.002774,0.00349,-0.006381,-0.008702,0.014087,0.00603,0.00685,-0.006882,Q
0.008491,0.006684,0.005657,0.005979,-0.003985,0.00025,-0.002318,-0.000314,S
-0.00254,0.006917,0.001846,-0.012269,0.009798,0.00976,-0.010369,0.003371,Q
0.000713,0.015202,-0.005578,0.01181,0.002018,0.013492,0.00522,0.011346,V
0.006509,0.007576,-0.00633,0.000429,-0.006672,-0.00345,-0.002184,-0.003971,R
-0.002831,0.009656,0.017947,-0.026263,0.002842,-0.022343,-0.010633,0.025265,Z
-0.00011,0.007497,-0.005212,0.000646,0.002249,-0.004904,-0.006721,-0.000756,P
-0.010144,-0.002056,-0.010843,-0.014236,-0.008357,-0.004194,-0.005071,0.001281,W
0.002347,-0.012092,-0.005231,0.000915,0.012363,-0.003157,0.009201,0.011051,I
0.00737,0.003169,-0.003186,-0.006103,-0.000942,-0.003137,0.003529,0.008065,F
0.000309,0.002497,0.00433,-0.00511,-0.010254,-0.01824,-0.007817,0.00558,F
0.005841,-0.01751,0.002703,-0.004141,0.009331,-0.003251,0.012508,0.006514,J
0.003689,0.007697,-0.006782,-0.005697,0.003126,-0.0038,-0.001094,0.011667,V
-0.008256,-0.001351,0.001415,-0.000732,-0.006438,-0.00617,-0.010613,-0.015827,M
-0.003865,-0.003377,-0.005298,0.004182,0.006631,0.001895,-0.017816,-0.015222,M
-0.002094,0.000054,0.003782,-0.00449,0.002094,-0.003435,0.001758,-0.000055,O
0.002444,-0.012413,-0.002722,-0.001412,0.004263,0.000196,0.016323,-0.0086,J
-0.004418,-0.001207,0.005187,0.012662,0.015789,-0.005643,-0.010474,0.002628,E
0.006619,-0.012404,0.011807,-0.002862,-0.00365,0.012234,-0.00423,0.002105,M
-0.00115,-0.001521,0.004087,-0.001986,0.005494,0.007622,-0.011551,-0.001205,K
-0.000211,0.005756,-0.006094,-0.001825,-0.008981,0.010012,0.005998,-0.004021,P
-0.003759,-0.011803,0.001067,-0.000431,-0.000227,0.012977,-0.003263,0.008169,A
-0.005971,0.003051,-0.006511,0.003284,0.006904,-0.001735,0.00351,-0.004699,G
0.000228,0.01137,-0.009694,-0.002637,0.000092,0.011985,0.005928,0.000448,V
0.005291,0.000422,0.00501,0.00069,-0.00774,-0.003024,0.004365,0.001877,X
-0.008851,-0.008573,-0.003402,-0.00325,-0.00594,0.011818,0.002968,0.001064,A
0.003672,-0.006963,0.011242,-0.00394,0.008579,-0.004547,-0.003345,0.000455,Z
-0.011232,0.013237,-0.003785,0.007305,0.008947,0.002051,-0.007453,-0.004347,S
-0.007556,-0.012833,0.003304,-0.005831,-0.010206,-0.001261,-0.000008,-0.00573,M
0.01239,-0.001466,0.001013,-0.001727,0.003838,-0.011654,-0.00127,0.007467,Z
0.00261,0.009656,0.011087,0.005954,0.002505,-0.000056,-0.001737,-0.000366,M
0.001102,0.002303,-0.004612,-0.012048,-0.004799,0.015252,-0.013622,-0.000266,W
0.00704,-0.00436,0.001002,-0.011498,-0.00543,0.001409,-0.000677,0.014047,T
-0.002729,-0.002848,-0.000472,0.012491,0.014324,-0.008713,-0.009853,-0.003442,E
0.005628,-0.000968,-0.004726,-0.003008,-0.005387,-0.005295,0.008827,0.011883,I
0.007674,-0.001385,-0.00275,-0.005024,0.002027,0.000391,-0.005559,-0.001481,H
0.00241,0.005519,-0.000862,0.009596,0.003913,-0.003035,0.001777,0.007378,U
0.002595,0.003742,-0.000359,-0.002896,0.005123,0.007855,-0.005271,-0.0009,X
-0.003598,0.005849,-0.009847,-0.003987,-0.001146,0.003358,0.006172,-0.002278,V
-0.006272,0.002177,-0.01498,-0.0039,-0.001265,0.003874,-0.004786,-0.003715,W
0.000504,-0.007298,0.000459,-0.001314,-0.003163,0.00286,0.01261,-0.007917,D
0.005146,-0.004323,0.008703,-0.00466,-0.01588,-0.004741,0.004554,-0.001268,R
-0.001948,-0.000158,0.001881,0.000552,0.00497,0.0038,0.005604,-0.001798,S
0.00337,0.000307,-0.000044,-0.016833,0.00356,0.008874,-0.001432,-0.000079,F
-0.011744,-0.003753,0.010014,-0.004471,-0.003574,-0.004445,-0.00889,-0.001481,N
0.001373,-0.007635,0.006578,-0.003227,0.000443,-0.009821,0.006892,0.008754,Z
0.005921,-0.000078,0.014146,-0.000573,0.006954,-0.016514,0.005154,0.008627,Z
0.010498,-0.000077,-0.014468,0.002119,0.007116,-0.002767,-0.000795,0.016163,I
0.008624,0.006328,-0.003509,-0.030968,0.002457,-0.00622,-0.007433,0.001423,J
-0.002281,0.005973,-0.00068,0.000483,-0.001771,-0.004708,0.00366,-0.000141,Q
0.003429,-0.002493,0.001704,-0.006191,0.002701,0.000804,-0.000247,-0.000881,F
-0.004967,-0.011156,0.005495,-0.000354,0.018833,-0.003577,0.018533,-0.000386,J
0.009836,0.005573,0.004207,-0.003361,-0.001851,0.001969,-0.009744,-0.009778,R
0.004001,-0.000413,0.006759,-0.003449,0.006063,-0.002693,0.001354,0.002662,S
0.000877,0.000574,0.001309,0.003103,-0.003093,-0.001068,0.003297,-0.003158,H
-0.003025,0.002561,-0.001027,0.001441,-0.01011,-0.001837,-0.002521,-0.004231,B
0.001315,0.000783,-0.001317,-0.012297,0.011199,0.002487,0.002502,-0.008063,Q
-0.005462,-0.007378,-0.002488,-0.001513,-0.004929,0.013289,0.008098,0.005031,A
0.000507,0.006445,-0.014872,0.002964,0.000676,0.00659,0.002963,0.007625,Y
0.002494,0.010009,-0.000006,-0.001494,0.005047,-0.000491,-0.001821,-0.004573,P
0.014587,0.001217,-0.016653,0.012359,-0.002233,-0.006428,0.004147,0.001194,T
-0.013193,0.002914,-0.012092,0.003364,-0.003985,-0.001598,0.000623,-0.002975,C
-0.000188,0.004919,0.007473,0.00459,0.008298,0.011073,-0.004439,-0.013996,H
-0.007381,0.001208,-0.002424,0.004045,0.010601,-0.008496,0.004632,-0.00336,G
-0.002076,-0.004357,0.000842,0.006843,0.002846,-0.005165,-0.007858,-0.000399,N
0.011584,0.009985,0.000166,-0.000867,-0.001932,0.00152,-0.005412,-0.000793,Z
-0.006023,0.004848,-0.000281,-0.007647,-0.01177,-0.022981,-0.007886,0.015434,P
-0.000703,-0.004086,0.005543,0.000223,0.006037,0.000918,0.007253,-0.003777,Z
-0.003441,0.000923,0.001476,0.002026,0.003337,-0.005172,-0.000635,-0.008338,E
0.00343,-0.00476,-0.004269,0.000093,-0.000571,0.004579,0.008295,-0.009282,R
-0.002458,-0.004453,-0.002924,0.00164,0.004222,-0.002641,0.007568,-0.005708,E
-0.004052,-0.003668,-0.004515,-0.001379,0.004158,-0.003695,0.008004,-0.004344,E
-0.004383,0.009142,-0.001238,-0.006936,-0.002988,-0.02433,-0.010786,0.010852,Q
0.011268,-0.005429,0.006894,-0.017005,0.013731,0.003439,-0.011357,0.005297,T
0.004208,0.000818,0.000063,-0.016054,0.00829,0.009665,-0.006714,0.001414,F
0.004324,0.00323,0.001307,0.005059,-0.007335,0.005302,-0.001381,-0.001776,D
-0.003957,-0.009619,0.005639,0.002102,0.006551,-0.002348,0.021345,-0.004088,J
-0.005166,-0.000581,0.009352,0.001975,-0.005386,-0.014877,-0.005606,-0.000131,Y
0.001347,-0.001713,0.001796,-0.003114,0.001351,-0.001861,-0.001829,0.003705,S
0.002001,0.001178,0.005417,0.006912,0.006359,-0.000779,-0.005584,0.000298,O
0.00118,-0.001121,-0.008637,0.002294,-0.010843,-0.009382,-0.0018,-0.010897,O
0.00898,0.002206,0.002701,0.003096,0.012308,-0.006298,0.000134,0.002284,Z
0.000861,0.000874,0.004308,-0.017206,0.007185,0.005339,-0.013736,0.00096,D
0.000478,-0.008566,-0.00662,-0.004064,0.003036,-0.005841,0.015824,0.006273,I
-0.004353,-0.014492,0.002023,-0.001629,-0.000949,0.006595,0.003314,-0.00608,N
0.001748,0.002255,0.000319,0.003788,-0.001151,0.002118,0.003997,-0.014179,H
-0.005008,0.002134,0.001888,0.011677,0.004555,0.000554,0.002401,0.002393,U
-0.009838,0.002442,-0.003746,0.00198,0.001688,-0.002917,-0.002588,-0.002486,C
-0.008144,-0.008245,0.019738,-0.00995,-0.003383,-0.008972,-0.015111,0.003655,U
-0.004792,0.010121,-0.005305,-0.020372,0.009003,0.001122,-0.008514,0.001531,O
-0.012946,-0.003655,-0.005417,0.007732,0.005553,-0.003427,-0.010783,-0.005149,E
0.002452,-0.011528,0.007784,-0.005892,-0.009345,0.001952,0.003226,-0.004777,M
0.010208,0.007436,-0.011869,0.020254,-0.000476,0.007809,-0.000209,0.005152,Y
-0.006668,0.000689,-0.006275,0.008634,0.017992,-0.014069,0.000405,-0.004259,C
-0.006658,0.006318,0.00088,-0.009366,0.003265,0.010663,-0.004228,0.002414,Y
0.00283,-0.001588,0.005182,0.003025,0.002772,0.002891,0.007872,-0.002753,Z
0.001238,-0.010083,-0.00206,-0.003275,0.006111,-0.003626,0.015819,-0.000603,J
0.004853,0.003884,-0.004792,-0.005133,-0.00037,0.001886,0.007463,-0.006864,B
-0.004748,-0.000722,0.002131,0.007945,0.006797,-0.009094,0.005799,-0.010364,C
0.012471,0.007924,0.00413,0.008863,0.005983,0.003748,-0.012501,0.003446,S
0.010439,-0.000005,0.005995,-0.010418,-0.006317,-0.000557,0.001018,-0.001952,F
-0.003834,0.007553,-0.00737,-0.012744,0.00931,-0.003701,-0.005425,-0.004213,O
0.009124,-0.000969,-0.003756,-0.013432,0.010402,0.002639,-0.011559,0.007019,T
-0.00971,0.004272,-0.005463,-0.000931,-0.000431,-0.000596,0.003773,-0.001923,K
-0.010216,0.003188,-0.013644,0.003372,0.003321,-0.00998,-0.009228,-0.004467,E
0.006621,0.004604,-0.006031,-0.016702,0.005592,0.006338,-0.005225,0.000828,F
0.003369,0.002586,-0.017806,-0.006086,-0.006357,-0.000251,-0.003748,0.012102,V
-0.005715,0.003538,-0.012352,-0.007994,0.009238,0.009616,0.007635,-0.005783,Q
-0.002789,0.007763,-0.002326,-0.008637,-0.000067,0.003699,-0.002013,0.01673,Y
-0.01013,0.004826,-0.000945,-0.006155,0.000203,0.003842,0.005993,0.001438,Y
0.001219,0.00225,0.004131,0.004754,0.001553,0.002846,0.000236,-0.005192,O
-0.003864,0.000386,0.005764,-0.001966,-0.007011,-0.004024,0.003575,0.00094,N
-0.002304,-0.01024,0.003371,0.000461,-0.000393,0.010252,-0.004574,0.009503,A
0.000828,-0.005832,-0.003042,-0.002962,0.003114,-0.003711,0.009726,-0.000784,F
0.010942,0.000695,0.005575,0.0054,0.000155,0.000646,-0.01087,-0.0064,R
0.032582,-0.005839,-0.002627,0.006653,-0.010635,-0.009137,0.000588,0.016573,T
0.000376,-0.010256,0.009975,-0.000393,-0.007464,0.003959,0.000037,0.000934,M
0.001742,0.004096,0.006749,-0.000665,-0.009359,0.001587,0.008592,-0.000245,D
0.001093,0.002006,-0.002116,-0.002764,-0.000233,0.013661,0.000007,-0.016215,P
0.004931,-0.001679,0.022172,0.001695,0.00364,-0.011158,0.001959,0.008164,Z
-0.003811,0.004386,-0.00155,-0.01335,0.001044,0.008469,-0.00154,0.00439,Y
0.002216,-0.00057,0.004686,-0.008399,-0.002375,-0.004533,0.004434,0.000276,T
0.019016,-0.002195,0.011812,-0.021576,-0.006727,0.000031,-0.008172,-0.006147,B
-0.013224,-0.00748,0.004115,-0.004647,-0.007872,0.012576,0.004791,0.006305,A
-0.001681,0.003483,0.010892,0.006059,0.002508,0.003209,-0.010957,-0.006332,A
-0.007946,0.000021,-0.000184,-0.013539,-0.003505,-0.00369,-0.00496,0.002159,W
-0.003896,0.002873,-0.005417,-0.007118,-0.012581,-0.016597,0.002509,0.010334,P
-0.003487,-0.002881,0.011705,0.00177,-0.005413,0.003574,0.006,0.002125,M
-0.004849,-0.006787,0.008523,0.01089,0.009577,-0.00316,-0.020012,-0.013504,U
0.002915,0.007003,0.007959,-0.004486,-0.006843,-0.007337,0.007467,0.001299,E
-0.003233,0.007911,0.007175,0.00507,0.001651,0.005457,-0.001884,-0.012422,N
0.00477,0.000703,-0.008053,0.012867,0.004193,0.002561,-0.004013,0.00578,V
-0.000369,0.008133,-0.00524,-0.006327,-0.000291,-0.00411,0.000195,0.006269,P
-0.001042,0.001415,-0.002704,-0.021035,0.011535,0.003747,-0.003239,-0.004838,P
0.009306,0.01639,-0.010487,-0.008478,0.006589,0.006635,-0.00565,0.002712,V
-0.012735,0.000696,-0.004342,0.002327,0.009978,-0.001492,0.006208,-0.007938,G
-0.004968,-0.005825,0.011576,0.008569,0.02166,-0.000467,0.014688,0.000204,J
-0.001173,-0.009769,-0.002237,0.003589,0.000363,0.011342,0.001939,0.00585,A
0.008358,0.006249,0.012303,0.003014,-0.00775,-0.000905,-0.003076,0.001237,M
0.007253,0.000237,-0.001213,-0.008509,-0.002754,0.004679,0.00946,-0.006263,T
-0.007216,0.01029,0.006895,-0.004908,0.001051,-0.008144,0.00498,0.004765,Q
0.000492,-0.007621,-0.002669,-0.007885,0.004676,0.002042,0.007513,-0.004198,F
0.011235,-0.006047,-0.014337,0.006269,-0.001223,-0.003986,-0.001561,0.015121,I
-0.003287,-0.004843,-0.000913,0.010274,0.000918,-0.005744,-0.006218,0.003864,U
-0.004667,-0.005735,0.021883,0.00669,0.018046,-0.013266,0.015345,0.012259,J
-0.002904,-0.000758,0.005223,0.004593,0.006434,0.009775,0.005611,-0.004607,S
0.001731,0.001465,-0.005487,0.002716,-0.004621,-0.00219,-0.006083,0.002577,L
0.005945,0.000316,0.000937,-0.020094,0.000751,-0.020287,0.006089,0.017156,J
-0.002658,0.008424,-0.00317,-0.00758,-0.000913,-0.008486,-0.012692,-0.00675,S
0.007958,-0.000649,-0.020792,0.012884,-0.001871,0.001604,-0.000546,-0.001672,V
0.009056,-0.001612,-0.000991,0.013597,0.002751,-0.004381,-0.007369,0.005925,C
0.005834,0.001254,0.007777,0.007573,0.00289,-0.001664,-0.002505,-0.00287,O
0.002957,0.008797,-0.001509,0.004673,-0.007226,-0.004973,-0.00661,0.003182,Q
0.011153,-0.00566,0.019249,-0.010855,0.005109,0.002385,-0.016574,0.000486,Z
-0.004072,0.002367,-0.00098,0.008448,0.011156,-0.008769,-0.005314,-0.000787,E
-0.009436,0.00134,0.007286,0.005743,0.007436,-0.014354,0.007606,-0.005369,C
0.000139,-0.008134,0.006381,0.005477,-0.011268,-0.000479,-0.005415,0.002158,A
0.004957,0.000737,-0.004242,0.011034,-0.000245,-0.001476,-0.003127,0.002548,U
-0.009353,-0.0154,-0.005694,-0.005013,0.000848,0.003401,0.001759,-0.011228,N
0.000161,-0.011485,0.006316,-0.000971,-0.006414,0.001515,0.001289,-0.000179,M
0.003332,0.002381,-0.002616,-0.006244,-0.006918,-0.003477,-0.003877,-0.016366,S
-0.003179,-0.000116,0.00684,-0.009089,-0.009468,-0.007788,0.002021,0.000738,N
0.002155,0.006596,-0.002363,-0.0034,-0.007322,-0.002734,0.008969,-0.007163,E
0.001578,0.006902,-0.005813,-0.005954,0.000566,0.001452,0.003508,-0.003119,P
0.001595,0.008382,-0.009431,0.003745,-0.009591,0.005614,0.011483,0.010088,Y
0.003587,0.004956,-0.003947,0.013227,0.015015,-0.003572,-0.005689,-0.000546,G
-0.001201,-0.010411,0.007468,-0.002368,0.011999,-0.007762,-0.004816,0.000175,Z
0.003247,-0.008392,-0.004087,-0.003237,0.004408,-0.003267,0.01318,0.007437,I
0.010858,-0.000614,0.006659,-0.001652,-0.012262,0.00101,0.001236,-0.004259,R
0.002219,0.003915,-0.000431,0.005846,0.008244,-0.007818,-0.005565,-0.004287,Z
